# Gene set generated on 2022-09-20T13:31:02 using cellxgene version 1.1.0,,,
# Input data file was BloodGlyco.h5ad, which was last modified on 2022-09-16T10:10:25,,
gene_set_name,gene_set_description,gene_symbol,gene_description
elongBranch_synth,,EXTL1,
elongBranch_synth,,GCNT2,
elongBranch_synth,,B4GALNT3,
elongBranch_synth,,B4GALT4,
elongBranch_synth,,DSEL,
elongBranch_synth,,B4GALT2,
elongBranch_synth,,EXTL3,
elongBranch_synth,,CHPF,
elongBranch_synth,,CHSY1,
elongBranch_synth,,B3GNT7,
elongBranch_synth,,GCNT3,
elongBranch_synth,,B3GNT8,
elongBranch_synth,,GLCE,
elongBranch_synth,,CHST3,
elongBranch_synth,,CHST8,
elongBranch_synth,,CSGALNACT2,
elongBranch_synth,,B3GALNT2,
elongBranch_synth,,C1GALT1C1,
allDonor_synth,,GALK1,
allDonor_synth,,PMM2,
allDonor_synth,,PGM1,
allDonor_synth,,GNE,
allDonor_synth,,UAP1,
allDonor_synth,,NAGK,
allDonor_synth,,GNPDA1,
allDonor_synth,,G6PC1,
allDonor_synth,,CMAS,
allDonor_synth,,DPM1,
allDonor_synth,,UGP2,
allDonor_synth,,GALK2,
allDonor_synth,,GCK,
allDonor_synth,,GMPPB,
allDonor_synth,,PGM2,
allDonor_synth,,GFPT2,
allDonor_synth,,GALT,
allDonor_synth,,GNPNAT1,
allDonor_synth,,GMPPA,
allDonor_synth,,FCSK,
allDonor_synth,,GALE,
allDonor_synth,,HK2,
allDonor_synth,,PGM3,
allDonor_synth,,GMDS,
allDonor_synth,,FPGT,
allDonor_synth,,GFUS,
allDonor_synth,,PAPSS1,
allDonor_synth,,RENBP,
allDonor_synth,,MPI,
allDonor_synth,,UGDH,
allDonor_synth,,GNPDA2,
allDonor_synth,,UXS1,
allDonor_synth,,ALG5,
allDonor_synth,,CRPPA,
allDonor_synth,,DPM2,
allDonor_synth,,DPM3,
allDonor_synth,,GFPT1,
allDonor_synth,,GPI,
allDonor_synth,,HK3,
allDonor_synth,,AMDHD2,
allDonor_synth,,HK1,
allDonor_synth,,PAPSS2,
allDonor_synth,,PMM1,
allDonor_synth,,NANS,
all_modifiers,,HS3ST4,
all_modifiers,,CHST14,
all_modifiers,,GAL3ST3,
all_modifiers,,CHST15,
